_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
35,2021,July-Sept,1040781,6010230.0,326609,White,F,Aged 25 to 34 years,Not a youth,51,,,Assault,,,,,,,None,None,None,None,None,35
36,2020,July-Sept,1023568,6047677.0,313315,White,M,Aged 25 to 34 years,Not a youth,42,,,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,None,None,None,None,None,36
37,2021,July-Sept,1017148,6009977.0,313315,White,M,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,37
38,2020,Jan-Mar,1001010,6057542.0,319209,White,M,Aged 35 to 44 years,Not a youth,13,,1.0,Warrant,,,,,,1.0,None,None,None,None,None,38
39,2020,Apr-June,1028958,6057012.0,319209,Latino,M,Aged 18 to 24 years,Not a youth,XX,1.0,1.0,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,1,0,1,0,0,39
40,2020,July-Sept,1013654,6059866.0,319209,Latino,M,Aged 18 to 24 years,Not a youth,13,,1.0,Harassment & Threatening,,,,,,,None,None,None,None,None,40
41,2020,Oct-Dec,1014800,6013088.0,319209,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Weapons & Homicide,,,,,,,None,None,None,None,None,41
42,2021,Apr-June,1036454,6035289.0,316900,White,F,Aged 25 to 34 years,Not a youth,41,,1.0,Robbery/Theft,,,,,,,None,None,None,None,None,42
43,2020,July-Sept,1026364,6027584.0,316419,South Asian,F,Aged 25 to 34 years,Not a youth,52,1.0,1.0,Assault & Other crimes against persons,,,,,,,1,0,0,0,0,43
44,2020,July-Sept,1031462,6032583.0,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,44
45,2020,Oct-Dec,1026190,6048361.0,316419,South Asian,F,Aged 25 to 34 years,Not a youth,14,1.0,1.0,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,1,0,0,0,0,45
46,2020,Oct-Dec,1059547,6041087.0,316419,South Asian,F,Aged 25 to 34 years,Not a youth,51,,1.0,Warrant,,,,,,,None,None,None,None,None,46
47,2021,Apr-June,1048449,6038901.0,316419,Unknown or Legacy,F,Aged 25 to 34 years,Not a youth,51,,1.0,FTA/FTC/Compliance Check/Parollee,,,,,,1.0,None,None,None,None,None,47
48,2021,Apr-June,1005274,6051849.0,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,51,,1.0,Assault,,,1.0,1.0,,,None,None,None,None,None,48
49,2021,Apr-June,1005468,6004549.0,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,52,,,FTA/FTC/Compliance Check/Parollee,,,,,,1.0,None,None,None,None,None,49
50,2021,Apr-June,1009512,6032809.0,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,50
51,2020,Jan-Mar,1052121,6060005.0,322990,White,F,Aged 55 to 64 years,Not a youth,XX,,,Robbery & Theft,,,,,,,None,None,None,None,None,51
52,2021,Oct-Dec,1023008,6034685.0,324772,White,M,Aged 25 to 34 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,52
53,2020,Apr-June,1044055,,324772,White,M,Aged 25 to 34 years,Not a youth,XX,1.0,,Warrant,,,,,,,1,1,1,1,0,53
54,2021,Jan-Mar,1017605,6053067.0,315156,White,M,Aged 55 to 64 years,Not a youth,XX,,,Break and Enter,,,,,,1.0,None,None,None,None,None,54
55,2021,Jan-Mar,1040910,6001568.0,311889,White,F,Aged 35 to 44 years,Not a youth,22,,1.0,Assault,,,,,,,None,None,None,None,None,55
56,2021,July-Sept,1046753,6048174.0,311889,White,F,Aged 35 to 44 years,Not a youth,XX,,,Mischief,,,,,,,None,None,None,None,None,56
57,2021,July-Sept,1047514,6039061.0,311889,White,F,Aged 35 to 44 years,Not a youth,22,1.0,1.0,FTA/FTC/Compliance Check/Parollee,,,,,,,1,0,0,1,1,57
58,2021,Apr-June,1040228,6059513.0,335169,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,42,,1.0,Robbery/Theft,,,,,,1.0,None,None,None,None,None,58
59,2021,Jan-Mar,1003364,6032564.0,303000,White,F,Aged 35 to 44 years,Not a youth,22,1.0,1.0,Drug Related,,,,,,,1,0,0,1,0,59
60,2021,Jan-Mar,1007308,6058105.0,303000,White,F,Aged 35 to 44 years,Not a youth,11,,1.0,Police Category - Administrative,,,,,,1.0,None,None,None,None,None,60
61,2020,Jan-Mar,1005335,6022634.0,312083,Black,F,Aged 35 to 44 years,Not a youth,31,,1.0,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,61
62,2020,Oct-Dec,1008283,6048825.0,300327,Black,M,Aged 18 to 24 years,Not a youth,12,,1.0,Drug Related,,,,,,,None,None,None,None,None,62
63,2020,Jan-Mar,1023942,6049579.0,315196,Black,F,Aged 25 to 34 years,Not a youth,51,,1.0,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,None,None,None,None,None,63
64,2020,July-Sept,1018975,6027759.0,315196,Black,F,Aged 25 to 34 years,Not a youth,41,,1.0,Weapons & Homicide,,,,,,,None,None,None,None,None,64
65,2021,Oct-Dec,1006650,6034345.0,329864,Black,M,Aged 18 to 24 years,Not a youth,13,,1.0,Assault,,,,,,,None,None,None,None,None,65
66,2020,July-Sept,1029642,6056350.0,322697,Unknown or Legacy,M,Aged 35 to 44 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,66
67,2021,July-Sept,1054182,6063205.0,324594,White,M,Aged 18 to 24 years,Not a youth,52,,,Assault,,,,,,,None,None,None,None,None,67
