HH_ID,AGEGRP,AGEIMM,CF_RP,CFSTAT,CFSTRUCT,CIP2021,CITIZEN,CITOTH,CMA,EF_RP,EMPIN,HDGREE,WEIGHT
40809,12,99,3,6,9,13,1,5,462,3,2000,2,100.111806
40810,11,6,1,2,2,13,2,3,933,1,3000,1,100.4811749
40811,12,99,1,1,1,8,1,5,999,1,-19000,5,100.5951601
40812,12,99,1,1,1,8,1,5,999,1,99999999,4,100.4811749
40813,9,2,1,3,3,5,2,5,535,1,15000,7,100.4176077
40814,88,99,3,8,9,4,1,5,999,1,42000,7,100.4176077
40815,12,9,1,2,2,5,2,5,535,1,99999999,5,100.4176077
40816,13,99,1,1,1,13,1,5,999,1,99999999,1,100.111806
40817,13,99,1,1,1,6,1,5,999,1,99999999,7,100.4811749
40818,10,99,1,1,1,3,1,5,999,1,73000,7,100.5951601
40819,5,99,3,6,9,13,3,4,535,3,48000,2,100.4176077
40820,11,99,3,6,9,13,1,5,999,3,58000,2,100.4176077
40821,11,99,1,1,1,13,1,5,999,1,59000,2,100.1576517
40822,10,99,1,2,2,5,1,5,462,1,140000,7,100.111806
40823,6,99,1,2,2,5,1,5,462,1,51000,7,100.111806
40824,6,5,3,6,9,13,3,4,535,3,28000,2,100.4176077
40825,12,99,3,6,9,13,1,5,999,3,2000,2,100.1576517
40826,7,99,1,2,2,13,1,5,999,1,36000,2,100.4176077
40827,12,99,1,1,1,13,1,5,999,1,30000,2,100.1576517
40828,11,99,1,1,1,13,1,5,999,1,91000,2,100.17917
40829,9,99,3,6,9,13,1,5,999,3,26000,2,100.5223781
40830,9,99,1,1,1,13,1,5,825,1,54000,2,100.5951601
40831,9,99,1,2,2,7,1,5,999,1,100000,7,100.4176077
40832,88,1,1,3,3,88,2,5,933,1,14000,88,100.4811749
40833,12,99,1,1,1,4,1,5,999,1,2000,8,100.9644705
40834,7,99,1,2,2,13,1,5,999,1,66000,1,100.111806
40835,12,99,3,8,9,13,1,5,999,1,1000,1,100.9644705
40836,7,99,1,2,2,8,1,5,462,1,70000,5,100.111806
40837,11,2,1,3,3,10,2,5,535,1,120000,5,100.4176077
40838,5,99,1,1,1,9,1,5,825,1,42000,3,100.5951601
40839,11,99,1,1,1,5,1,5,933,1,130000,5,100.4811749
40840,10,99,1,2,2,8,1,5,933,1,57000,4,100.4811749
40841,7,99,1,2,2,4,1,5,535,1,36000,7,100.4176077
40842,13,9,1,3,3,13,2,3,535,1,99999999,1,100.4176077
40843,8,99,3,6,9,13,1,5,999,3,53000,2,100.4176077
40844,12,99,1,1,1,13,1,5,999,1,8000,1,100.5951601
40845,10,99,3,6,9,10,1,5,999,3,99999999,5,100.4176077
40846,10,99,1,2,2,4,1,1,535,1,160000,7,100.4176077
40847,12,99,3,6,9,10,1,5,999,3,99999999,5,100.4811749
40848,9,99,1,2,2,13,1,5,535,1,100000,2,100.4176077
40849,11,8,1,2,2,8,3,3,535,1,99999999,7,100.4176077
40850,88,99,1,1,1,4,1,5,999,1,99999999,88,100.17917
40851,13,3,1,1,1,13,3,2,462,1,99999999,1,100.111806
40852,11,99,3,7,9,8,1,5,999,3,83000,5,100.9644705
40853,12,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
40854,13,99,1,1,1,13,1,5,999,1,99999999,1,100.111806
40855,88,99,1,2,2,13,1,8,999,1,74000,2,100.4811749
40856,6,99,3,6,9,6,1,5,999,3,58000,7,100.1576517
40857,8,99,1,2,2,13,1,5,999,1,97000,2,100.4811749
40858,11,99,3,6,9,13,1,5,999,3,50000,2,100.4811749
40859,11,99,1,3,3,2,1,5,999,1,65000,5,100.4176077
40860,13,99,3,6,9,13,1,5,999,3,99999999,2,100.4176077
40861,11,99,1,2,2,1,1,5,999,1,84000,88,100.111806
40862,4,99,3,7,9,5,3,3,999,3,37000,5,100.4176077
40863,11,99,3,8,9,13,1,5,835,1,140000,2,100.5951601
40864,12,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
40865,11,6,1,1,1,4,2,2,535,1,99999999,5,100.4176077
40866,4,4,3,8,9,5,3,4,825,1,52000,88,100.5951601
40867,11,99,3,6,9,13,1,5,999,3,55000,2,100.111806
40868,6,99,3,6,9,5,1,5,825,3,56000,5,100.5951601
40869,11,4,1,2,2,10,2,2,535,1,150000,7,100.4176077
40870,7,99,1,2,2,13,1,5,999,1,29000,2,100.1576517
40871,13,7,1,1,1,13,2,5,462,1,99999999,1,100.111806
40872,12,99,1,1,1,13,1,5,999,1,99999999,2,100.4176077
40873,6,99,3,6,9,10,1,5,825,3,67000,5,100.5951601
40874,11,99,3,6,9,13,1,5,999,3,15000,2,100.1576517
40875,9,99,1,1,1,13,1,5,535,1,110000,2,100.4176077
40876,8,99,3,6,9,13,1,5,535,3,60000,1,100.4176077
40877,8,99,1,2,2,13,1,5,999,1,35000,2,100.1576517
40878,9,99,1,1,1,3,1,5,462,1,80000,7,100.111806
40879,13,99,3,6,9,10,1,5,835,3,99999999,6,100.5951601
40880,11,99,1,1,1,1,1,5,999,1,99999999,7,100.111806
40881,10,99,3,6,9,5,1,5,933,3,110000,5,100.4811749
40882,12,99,1,1,1,8,1,5,462,1,99999999,3,100.111806
40883,10,99,1,1,1,8,1,5,999,1,29000,4,100.4176077
40884,13,99,1,1,1,13,1,5,999,1,99999999,2,100.111806
40885,7,99,1,3,3,13,1,8,999,1,99999999,2,99.97458425
40886,6,99,1,1,1,10,1,5,999,1,57000,5,99.97458425
40887,5,99,1,2,2,5,1,5,999,1,56000,8,100.111806
40888,6,5,1,1,1,5,3,4,999,1,17000,7,100.111806
40889,11,99,1,1,1,1,1,5,999,1,97000,7,100.4176077
40890,10,99,3,6,9,8,1,5,462,3,86000,3,100.111806
40891,13,8,3,6,9,13,2,2,999,3,99999999,2,100.4176077
40892,6,99,1,3,3,13,1,5,825,1,43000,2,100.5951601
40893,12,1,3,6,9,13,2,5,535,3,99999999,1,100.4176077
40894,10,99,1,2,2,13,1,5,999,1,54000,2,100.9644705
40895,7,99,1,3,3,8,1,5,462,1,84000,4,100.111806
40896,11,99,1,1,1,13,1,5,999,1,4000,2,100.4176077
40897,9,99,1,2,2,88,1,5,999,1,20000,88,100.111806
40898,11,99,3,6,9,4,1,5,462,3,99999999,8,100.111806
40899,12,99,1,1,1,13,1,5,999,1,99999999,2,100.111806
40900,7,99,1,3,3,13,1,5,999,1,99999999,1,99.97458425
40901,13,99,1,1,1,13,1,5,999,1,99999999,1,99.97458425
40902,7,99,1,2,2,8,1,5,999,1,55000,8,100.111806
40903,7,99,1,2,2,13,1,5,999,1,3000,88,100.17917
40904,11,99,1,1,1,13,1,5,999,1,36000,1,100.111806
40905,11,99,3,6,9,13,1,5,999,3,49000,2,100.4176077
40906,13,99,3,6,9,10,1,5,999,3,99999999,3,100.4176077
40907,7,99,1,2,2,13,1,5,999,1,63000,2,100.5951601
40908,10,99,1,2,2,13,1,2,535,1,250000,1,100.4176077
40909,88,5,2,2,2,9,2,4,462,2,2000,7,100.111806
40910,11,99,3,6,9,5,1,5,933,3,120000,7,100.4811749
40911,11,99,1,2,2,8,1,5,999,1,70000,5,100.17917
40912,7,99,1,2,2,6,1,5,999,1,35000,7,100.111806
40913,7,3,1,2,2,5,3,2,825,1,30000,5,100.5951601
40914,10,99,3,7,9,13,1,5,999,3,67000,1,100.4176077
40915,4,99,1,2,2,13,1,5,999,1,99999999,1,100.111806
40916,7,99,1,2,2,1,1,5,999,1,66000,7,100.111806
40917,13,6,1,2,2,13,2,5,999,1,99999999,2,100.4176077
40918,8,99,1,2,2,8,1,5,999,1,70000,3,100.111806
40919,13,99,3,6,9,7,1,5,999,3,99999999,8,100.4176077
40920,11,99,1,2,2,13,1,5,999,1,55000,2,100.9644705
40921,7,4,1,1,1,7,2,4,825,1,160000,7,100.5951601
40922,7,99,1,2,2,4,3,4,999,1,34000,8,100.4176077
40923,11,99,1,2,2,6,1,5,999,1,87000,7,100.4176077
40924,5,99,3,6,9,6,1,5,999,3,45000,7,100.5951601
40925,8,5,1,1,1,7,2,5,825,1,54000,5,100.5951601
40926,88,88,1,1,1,6,8,8,999,1,99999999,88,100.4811749
40927,6,99,3,6,9,8,1,5,535,3,80000,4,100.4176077
40928,7,3,3,6,9,13,2,4,999,3,57000,2,100.9644705
40929,11,99,1,1,1,8,1,5,999,1,52000,4,100.5951601
40930,13,99,1,1,1,1,1,5,462,1,99999999,7,100.111806
40931,5,99,1,1,1,5,1,5,999,1,62000,5,100.4176077
40932,6,99,3,7,9,13,1,5,999,3,33000,2,100.4811749
40933,88,6,1,2,2,5,2,8,933,1,11000,88,100.4811749
40934,10,99,3,6,9,13,1,5,999,3,99999999,2,100.4811749
40935,11,99,1,1,1,13,1,5,999,1,52000,1,100.5951601
40936,11,99,1,1,1,8,1,5,999,1,14000,4,100.4811749
40937,12,99,1,1,1,1,1,5,999,1,99999999,8,100.4811749
40938,6,99,2,2,2,13,1,5,999,2,56000,2,100.4279472
40939,7,99,1,1,1,13,1,5,835,1,99999999,2,100.5951601
40940,13,99,1,1,1,13,1,5,999,1,1,2,100.4176077
40941,8,99,1,2,2,9,3,4,999,1,29000,8,100.4176077
40942,11,99,3,6,9,13,1,5,933,3,99999999,2,100.4811749
40943,9,99,1,1,1,4,1,5,462,1,120000,8,100.111806
40944,13,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
40945,3,2,3,6,9,13,3,3,462,3,99999999,2,100.111806
40946,6,99,1,2,2,88,1,5,999,1,15000,5,100.4176077
40947,7,99,1,2,2,13,1,5,999,1,2000,2,100.4811749
40948,13,99,3,6,9,1,1,5,999,3,99999999,5,100.4176077
40949,12,99,3,6,9,13,1,5,999,3,99999999,2,100.111806
40950,7,99,1,2,2,8,1,5,999,1,74000,5,100.111806
40951,88,1,1,1,1,13,3,3,462,1,7000,88,100.111806
40952,9,5,1,3,3,4,3,2,933,1,52000,5,100.4811749
40953,7,99,1,2,2,10,1,5,999,1,21000,7,100.4176077
40954,13,4,3,6,9,13,2,5,535,3,1,2,100.4176077
40955,11,99,1,1,1,13,1,5,999,1,180000,2,100.1576517
40956,12,99,3,6,9,13,1,5,999,3,99999999,1,100.17917
40957,5,99,3,8,9,13,1,5,462,1,120000,2,100.111806
40958,8,7,1,2,2,8,3,4,462,1,99999999,8,100.111806
40959,11,99,1,1,1,10,1,5,999,1,5000,7,100.4176077
40960,13,99,1,1,1,4,1,5,999,1,99999999,7,100.9644705
40961,7,99,1,1,1,4,1,2,535,1,35000,7,100.4176077
40962,12,99,1,1,1,5,1,5,999,1,1,5,100.111806
40963,11,9,1,1,1,13,2,2,999,1,27000,2,100.1576517
40964,7,99,1,1,1,10,1,5,999,1,94000,5,99.97458425
