GeoUID,Region Name,Population,share_lim_at,share_homeowner,share_burden,share_immigrant,share_university
10001,St. John's (B),212579,11.3,0.6940555555555555,19.049211391629047,4.0657025189158125,26.506092057761734
10010,Grand Falls-Windsor (D),13853,16.6,0.6710204081632654,19.526143790849673,1.25,14.047109207708779
10011,Gander (D),13414,12.1,0.660574412532637,17.452006980802793,1.834862385321101,14.685946678716673
10015,Corner Brook (D),29762,14.8,0.6976217440543602,17.542533081285445,1.518288474810214,17.297404398652667
11105,Charlottetown (D),78858,13.3,0.6200667880995749,18.76923076923077,11.456448694753167,29.3606216819266
11110,Summerside (D),18157,15.7,0.5669390320553112,17.687934301958308,6.847764572722128,15.687583444592791
12205,Halifax (B),465703,12,0.5857260049220673,21.448070324826567,8.672080844004467,32.635433412437166
12210,Kentville (D),26929,16.2,0.6669459572685379,17.44087837837838,3.6842105263157894,21.941576982209533
12215,Truro (D),46157,16,0.6687605701860353,16.646054909720505,3.0777716492002205,17.907938970778382
12220,New Glasgow (D),34397,16.5,0.7181143041653213,15.470337594231399,1.6432272390821614,15.198199757659685
12225,Cape Breton (D),98318,18.3,0.692351598173516,16.137816717973006,3.228476821192053,17.134646470693887
13305,Moncton (B),157717,12.5,0.667907115212861,16.747772703451375,8.214204674381666,23.400569712833935
13310,Saint John (B),130613,13.2,0.6927414302335989,14.302409205321826,4.716283054874012,21.400508435405595
13320,Fredericton (B),108610,11.6,0.6972279150037752,14.811155028546333,6.116735874585919,31.941823026534916
13328,Bathurst (D),31387,16.2,0.7374088225078153,12.48688352570829,2.1119842829076623,12.89012003693444
13329,Miramichi (D),27593,14.9,0.7451219512195122,11.769686706181202,1.793639053254438,14.900449582530507
13330,Campbellton (New Brunswick part / partie du Nouveau-Brunswick) (D),11986,19.9,0.6730418943533698,14.402917046490428,1.676963812886143,12.56885327991988
13335,Edmundston (D),22144,16.2,0.7093476144109055,13.247011952191235,3.201146679407549,16.362646338143207
24330,Campbellton (partie du Québec / Quebec part) (D),1344,20.2,0.6796875,11.71875,0,6.666666666666667
24403,Matane (D),18474,16.7,0.6614044637996733,11.141602634467619,2.025527192008879,11.398467432950191
24404,Rimouski (D),53944,12,0.6341987116923677,12.036128018849402,1.8866126727012864,22.75227298237737
24405,Rivière-du-Loup (D),30025,11.3,0.6210411357844922,9.955914768552535,2.057541412380122,15.810276679841897
24406,Baie-Comeau (D),26643,9.3,0.7253236245954693,7.948094079480941,0.9138635037915613,12.172327330749942
24408,Saguenay (B),161567,11.4,0.6405748663101605,11.776554317174702,1.4186193793540216,16.858395473451495
