HH_ID,CMA,MODE,PWDUR,WEIGHT
124498,933,9,9,100.481174883465
124499,999,9,9,100.417607740762
124500,999,9,9,99.9745842484901
124501,933,9,9,100.481174883465
124502,535,6,4,100.417607740762
124503,999,2,1,100.179169992005
124504,462,2,8,100.111805957177
124505,999,2,2,100.417607740762
124506,999,9,9,100.417607740762
124507,462,9,8,100.111805957177
124508,462,9,9,100.111805957177
124509,999,2,8,100.417607740762
124510,999,2,2,100.111805957177
124511,933,9,9,100.481174883465
124512,999,9,9,99.9745842484901
124513,999,2,2,100.42794720071
124514,835,9,9,100.595160125175
124515,999,9,9,100.111805957177
124516,835,9,9,100.595160125175
124517,999,9,9,100.111805957177
124518,835,2,4,100.595160125175
124519,999,9,9,100.417607740762
124520,535,9,9,100.417607740762
124521,999,9,9,100.964470533697
124522,999,2,1,100.42794720071
124523,999,9,9,100.417607740762
124524,933,2,4,100.481174883465
124525,535,9,9,100.417607740762
124526,462,7,2,100.111805957177
124527,999,2,2,100.42794720071
124528,999,9,9,100.111805957177
124529,999,9,9,100.417607740762
124530,462,9,9,100.111805957177
124531,999,2,1,100.417607740762
124532,933,3,2,100.481174883465
124533,999,9,9,100.417607740762
124534,999,9,9,100.111805957177
124535,462,2,2,100.111805957177
124536,999,9,9,100.481174883465
124537,933,2,3,100.481174883465
124538,999,6,5,100.417607740762
124539,933,9,9,100.481174883465
124540,535,2,3,100.417607740762
124541,999,9,9,100.111805957177
124542,835,9,9,100.595160125175
124543,999,9,9,100.417607740762
124544,835,2,1,100.595160125175
124545,999,1,1,100.481174883465
124546,535,9,9,100.417607740762
124547,999,2,1,99.9745842484901
124548,999,6,2,100.417607740762
124549,999,9,9,100.481174883465
124550,933,9,9,100.481174883465
124551,835,2,2,100.595160125175
124552,535,2,3,100.417607740762
124553,999,9,9,100.417607740762
124554,999,2,2,100.417607740762
124555,999,7,8,100.42794720071
124556,999,9,9,100.42794720071
124557,999,2,1,100.417607740762
124558,999,9,9,100.111805957177
124559,999,2,2,100.481174883465
124560,999,6,1,100.417607740762
124561,999,2,1,100.595160125175
124562,825,9,9,100.595160125175
124563,999,9,9,100.417607740762
124564,999,9,9,100.417607740762
124565,999,9,9,100.417607740762
124566,535,6,3,100.417607740762
124567,999,9,9,100.42794720071
124568,535,9,9,100.417607740762
124569,999,2,4,100.417607740762
124570,933,9,9,100.481174883465
124571,825,4,5,100.595160125175
124572,999,2,2,100.481174883465
124573,999,2,5,100.417607740762
124574,999,2,2,100.15765171502
124575,825,2,2,100.595160125175
124576,825,9,9,100.595160125175
